央視頻道,#genre#
CCTV女性时尚,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024172203.m3u8
CCTV衛生健康,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024165201.m3u8

CGTN頻道,#genre#
CGTN,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2022575001.m3u8
CGTN紀錄,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2022574703.m3u8
CGTN西語,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2022571703.m3u8
CGTN法語,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2022574903.m3u8
CGTN阿語,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2022574603.m3u8
CGTN俄語,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2022574803.m3u8
