4GTV藍光,#genre#
118 Globetrotter 環遊旅行家,http://xg.52sw.top:5000/litv/4gtv-4gtv016
120 愛爾達生活旅遊台,http://xg.52sw.top:5000/litv/4gtv-live120
121 LUXE TV Channel,http://xg.52sw.top:5000/litv/4gtv-live121
122 TV5MONDE STYLE HD 生活時尚,http://xg.52sw.top:5000/litv/4gtv-live122
124 龍華偶像台,http://xg.52sw.top:5000/litv/litv-longturn12
125 公視戲劇,http://xg.52sw.top:5000/litv/4gtv-4gtv042
126 民視影劇台,http://xg.52sw.top:5000/litv/litv-ftv09
127 龍華戲劇台,http://xg.52sw.top:5000/litv/litv-longturn18
128 HITS頻道,http://xg.52sw.top:5000/litv/4gtv-live620
129 龍華日韓台,http://xg.52sw.top:5000/litv/litv-longturn11
130 八大精彩台,http://xg.52sw.top:5000/litv/4gtv-4gtv034
131 霹靂布袋戲,http://xg.52sw.top:5000/litv/4gtv-live145
132 靖天戲劇台,http://xg.52sw.top:5000/litv/4gtv-4gtv058
133 靖洋戲劇台,http://xg.52sw.top:5000/litv/4gtv-4gtv045
134 CI 罪案偵查頻道,http://xg.52sw.top:5000/litv/4gtv-live027
135 視納華仁紀實頻道,http://xg.52sw.top:5000/litv/4gtv-4gtv013
136 影迷數位紀實台,http://xg.52sw.top:5000/litv/4gtv-live023
137 金光布袋戲,http://xg.52sw.top:5000/litv/4gtv-live144
138 ROCK Action,http://xg.52sw.top:5000/litv/4gtv-live138
145 采昌影劇台,http://xg.52sw.top:5000/litv/4gtv-4gtv049
146 靖天映畫,http://xg.52sw.top:5000/litv/4gtv-4gtv055
147 靖天電影台,http://xg.52sw.top:5000/litv/4gtv-4gtv061
148 龍華電影台,http://xg.52sw.top:5000/litv/litv-longturn03
152 影迷數位電影台,http://xg.52sw.top:5000/litv/4gtv-4gtv011
153 amc電影台,http://xg.52sw.top:5000/litv/4gtv-4gtv017
154 CinemaWorld,http://xg.52sw.top:5000/litv/4gtv-live069
157 My Cinema Europe HD 我的歐洲電影,http://xg.52sw.top:5000/litv/4gtv-live157
160 好消息2台,http://xg.52sw.top:5000/litv/litv-ftv17
161 好消息,http://xg.52sw.top:5000/litv/litv-ftv16
163 大愛二台,http://xg.52sw.top:5000/litv/4gtv-live106
164 人間衛視,http://xg.52sw.top:5000/litv/4gtv-live008
169 FRANCE24 英文台,http://xg.52sw.top:5000/litv/4gtv-live146
170 半島國際新聞台,http://xg.52sw.top:5000/litv/litv-ftv10
171 VOA美國之音,http://xg.52sw.top:5000/litv/litv-ftv03
172 CNBC Asia 財經台,http://xg.52sw.top:5000/litv/4gtv-live130
173 DW德國之聲,http://xg.52sw.top:5000/litv/4gtv-live071
185 國會頻道1,http://xg.52sw.top:5000/litv/4gtv-4gtv084
